treat,age,educ,black,hispanic,married,nodegree,re74,re75,re78
0.0,18.0,10.0,0.0,1.0,0.0,1.0,0,0,1859
0.0,26.0,12.0,1.0,0.0,1.0,0.0,0,0,6192
0.0,31.0,12.0,1.0,0.0,0.0,0.0,0,0,7284
0.0,35.0,10.0,1.0,0.0,0.0,1.0,0,0,446
0.0,20.0,12.0,1.0,0.0,0.0,0.0,0,0,0
0.0,25.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,25.0,10.0,1.0,0.0,0.0,1.0,0,0,7367
0.0,35.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,20.0,10.0,1.0,0.0,0.0,1.0,0,0,2016
0.0,25.0,9.0,0.0,1.0,0.0,1.0,0,0,15791
0.0,27.0,10.0,1.0,0.0,0.0,1.0,0,0,1135
0.0,20.0,11.0,0.0,1.0,0.0,1.0,0,0,6379
0.0,26.0,11.0,1.0,0.0,0.0,1.0,0,0,7176
0.0,38.0,8.0,1.0,0.0,0.0,1.0,0,0,0
0.0,34.0,10.0,1.0,0.0,0.0,1.0,0,0,7953
0.0,19.0,12.0,1.0,0.0,0.0,0.0,0,0,0
0.0,32.0,8.0,1.0,0.0,0.0,1.0,0,0,7152
0.0,20.0,9.0,0.0,1.0,0.0,1.0,0,0,8330
0.0,23.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,38.0,10.0,1.0,0.0,0.0,1.0,0,0,12430
0.0,24.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,23.0,11.0,1.0,0.0,0.0,1.0,0,0,5089
0.0,20.0,7.0,0.0,1.0,0.0,1.0,0,0,4374
0.0,21.0,11.0,1.0,0.0,0.0,1.0,0,0,1553
0.0,25.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,22.0,11.0,1.0,0.0,1.0,1.0,0,0,1698
0.0,23.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,24.0,12.0,0.0,0.0,0.0,0.0,0,0,11295
0.0,29.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,24.0,11.0,1.0,0.0,0.0,1.0,0,0,14626
0.0,22.0,9.0,1.0,0.0,0.0,1.0,0,0,12898
0.0,28.0,11.0,1.0,0.0,0.0,1.0,0,0,5767
0.0,18.0,10.0,0.0,1.0,0.0,1.0,0,0,6528
0.0,26.0,10.0,1.0,0.0,0.0,1.0,0,0,3931
0.0,25.0,10.0,1.0,0.0,0.0,1.0,0,0,20942
0.0,24.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,26.0,5.0,1.0,0.0,0.0,1.0,0,0,0
0.0,36.0,10.0,1.0,0.0,0.0,1.0,0,0,14690
0.0,22.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,25.0,12.0,1.0,0.0,0.0,0.0,0,0,3418
0.0,27.0,11.0,1.0,0.0,0.0,1.0,0,0,11197
0.0,29.0,8.0,1.0,0.0,0.0,1.0,0,0,0
0.0,24.0,12.0,1.0,0.0,0.0,0.0,0,0,0
0.0,22.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,24.0,7.0,1.0,0.0,0.0,1.0,0,0,1456
0.0,29.0,12.0,1.0,0.0,0.0,0.0,0,0,1891
0.0,25.0,11.0,0.0,1.0,1.0,1.0,0,0,4486
0.0,30.0,12.0,1.0,0.0,0.0,0.0,0,0,13613
0.0,22.0,8.0,1.0,0.0,0.0,1.0,0,0,1391
0.0,55.0,3.0,1.0,0.0,0.0,1.0,0,0,5844
0.0,20.0,10.0,1.0,0.0,0.0,1.0,0,0,8599
0.0,34.0,11.0,1.0,0.0,0.0,1.0,0,0,2920
0.0,22.0,12.0,1.0,0.0,0.0,0.0,0,0,0
0.0,32.0,12.0,0.0,1.0,1.0,0.0,0,0,6735
0.0,31.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,18.0,9.0,1.0,0.0,0.0,1.0,0,0,0
0.0,50.0,10.0,0.0,1.0,0.0,1.0,0,0,0
0.0,25.0,11.0,1.0,0.0,1.0,1.0,0,0,45
0.0,23.0,10.0,1.0,0.0,1.0,1.0,0,0,0
0.0,38.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,25.0,10.0,1.0,0.0,1.0,1.0,0,0,3702
0.0,42.0,10.0,1.0,0.0,0.0,1.0,0,0,6930
0.0,39.0,12.0,1.0,0.0,1.0,0.0,0,0,3796
0.0,34.0,13.0,1.0,0.0,1.0,0.0,0,0,5193
0.0,24.0,7.0,1.0,0.0,0.0,1.0,0,0,2194
0.0,32.0,11.0,1.0,0.0,0.0,1.0,0,0,11121
0.0,27.0,13.0,1.0,0.0,0.0,0.0,0,0,7610
0.0,26.0,10.0,1.0,0.0,0.0,1.0,0,0,2169
0.0,44.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,25.0,11.0,1.0,0.0,0.0,1.0,0,0,1264
0.0,25.0,12.0,1.0,0.0,0.0,0.0,0,0,0
0.0,28.0,12.0,1.0,0.0,1.0,0.0,0,0,0
0.0,32.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,22.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,19.0,9.0,1.0,0.0,0.0,1.0,0,0,5713
0.0,31.0,10.0,1.0,0.0,1.0,1.0,0,0,0
0.0,23.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,33.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,27.0,10.0,1.0,0.0,0.0,1.0,0,0,1185
0.0,29.0,11.0,1.0,0.0,1.0,1.0,0,0,10226
0.0,23.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,25.0,9.0,1.0,0.0,1.0,1.0,0,0,4715
0.0,25.0,10.0,1.0,0.0,0.0,1.0,0,0,290
0.0,24.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,28.0,8.0,0.0,0.0,0.0,1.0,0,0,8190
0.0,26.0,6.0,1.0,0.0,0.0,1.0,0,0,4813
0.0,30.0,14.0,1.0,0.0,1.0,0.0,0,0,7345
0.0,25.0,10.0,1.0,0.0,1.0,1.0,0,0,0
0.0,29.0,11.0,1.0,0.0,1.0,1.0,0,0,0
0.0,25.0,12.0,1.0,0.0,1.0,0.0,0,0,0
0.0,28.0,13.0,1.0,0.0,0.0,0.0,0,0,0
0.0,23.0,11.0,1.0,0.0,0.0,1.0,0,0,4351
0.0,54.0,11.0,1.0,0.0,0.0,1.0,0,0,7813
0.0,33.0,5.0,0.0,1.0,0.0,1.0,0,0,0
0.0,20.0,8.0,1.0,0.0,0.0,1.0,0,0,3645
0.0,45.0,9.0,1.0,0.0,0.0,1.0,0,0,4845
0.0,39.0,6.0,1.0,0.0,0.0,1.0,0,0,0
0.0,26.0,12.0,1.0,0.0,0.0,0.0,0,0,0
0.0,23.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,27.0,12.0,0.0,0.0,0.0,0.0,0,0,14793
0.0,33.0,9.0,0.0,1.0,1.0,1.0,0,0,0
0.0,25.0,10.0,1.0,0.0,1.0,1.0,0,0,0
0.0,23.0,8.0,1.0,0.0,0.0,1.0,0,0,3747
0.0,18.0,8.0,1.0,0.0,0.0,1.0,0,0,1568
0.0,17.0,8.0,1.0,0.0,0.0,1.0,0,0,7010
0.0,19.0,9.0,0.0,1.0,0.0,1.0,0,0,3812
0.0,18.0,8.0,0.0,1.0,0.0,1.0,0,0,10799
0.0,18.0,11.0,1.0,0.0,0.0,1.0,0,0,4657
0.0,17.0,11.0,1.0,0.0,0.0,1.0,0,0,8552
0.0,19.0,10.0,1.0,0.0,0.0,1.0,0,0,4310
0.0,19.0,10.0,1.0,0.0,0.0,1.0,0,0,5286
0.0,18.0,9.0,1.0,0.0,0.0,1.0,0,0,12486
0.0,18.0,9.0,1.0,0.0,0.0,1.0,0,0,10877
0.0,18.0,10.0,1.0,0.0,0.0,1.0,0,0,202
0.0,17.0,10.0,1.0,0.0,0.0,1.0,0,0,2658
0.0,18.0,7.0,1.0,0.0,0.0,1.0,0,0,4133
0.0,18.0,11.0,1.0,0.0,0.0,1.0,0,0,11303
0.0,19.0,10.0,0.0,1.0,0.0,1.0,0,0,0
0.0,18.0,9.0,1.0,0.0,0.0,1.0,0,0,0
0.0,17.0,10.0,1.0,0.0,0.0,1.0,0,0,0
0.0,17.0,10.0,1.0,0.0,0.0,1.0,0,0,2189
0.0,19.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,17.0,8.0,0.0,0.0,0.0,1.0,0,0,10211
0.0,18.0,10.0,1.0,0.0,0.0,1.0,0,0,11048
0.0,18.0,9.0,1.0,0.0,0.0,1.0,0,0,0
0.0,17.0,8.0,1.0,0.0,0.0,1.0,0,0,8994
0.0,19.0,6.0,0.0,1.0,0.0,1.0,0,0,5072
0.0,19.0,10.0,0.0,0.0,0.0,1.0,0,0,3194
0.0,17.0,11.0,0.0,0.0,0.0,1.0,0,0,0
0.0,20.0,9.0,1.0,0.0,0.0,1.0,0,0,5193
0.0,17.0,9.0,1.0,0.0,0.0,1.0,0,0,0
0.0,17.0,10.0,1.0,0.0,0.0,1.0,0,0,276
0.0,17.0,9.0,1.0,0.0,0.0,1.0,0,0,3591
0.0,19.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,19.0,10.0,1.0,0.0,1.0,1.0,0,0,12798
0.0,20.0,9.0,1.0,0.0,0.0,1.0,0,0,2036
0.0,18.0,9.0,1.0,0.0,0.0,1.0,0,0,2390
0.0,18.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,17.0,10.0,0.0,1.0,0.0,1.0,0,0,8469
0.0,19.0,11.0,1.0,0.0,0.0,1.0,0,0,0
0.0,17.0,10.0,1.0,0.0,0.0,1.0,0,0,1143
0.0,17.0,9.0,0.0,1.0,0.0,1.0,0,0,5115
0.0,18.0,10.0,1.0,0.0,0.0,1.0,0,0,781
0.0,21.0,9.0,1.0,0.0,0.0,1.0,591,0,3343
0.0,18.0,10.0,1.0,0.0,0.0,1.0,1563,0,9602
0.0,19.0,11.0,1.0,0.0,0.0,1.0,1627,0,0
0.0,24.0,9.0,1.0,0.0,0.0,1.0,2788,0,16462
0.0,28.0,11.0,0.0,1.0,1.0,1.0,3473,0,6772
0.0,25.0,11.0,1.0,0.0,0.0,1.0,5281,0,0
0.0,21.0,7.0,1.0,0.0,0.0,1.0,33800,0,11012
0.0,39.0,11.0,1.0,0.0,0.0,1.0,0,84,0
0.0,36.0,12.0,1.0,0.0,0.0,0.0,0,142,0
0.0,24.0,12.0,1.0,0.0,0.0,0.0,0,160,0
0.0,17.0,11.0,1.0,0.0,0.0,1.0,989,165,4251
0.0,18.0,10.0,1.0,0.0,0.0,1.0,960,240,2892
0.0,18.0,10.0,1.0,0.0,0.0,1.0,0,274,5514
0.0,28.0,10.0,1.0,0.0,0.0,1.0,1471,368,4859
0.0,27.0,13.0,0.0,0.0,0.0,0.0,5214,475,4813
0.0,31.0,12.0,0.0,0.0,0.0,0.0,0,495,0
0.0,22.0,9.0,1.0,0.0,0.0,1.0,0,506,604
0.0,31.0,10.0,1.0,0.0,0.0,1.0,0,520,14528
0.0,26.0,10.0,1.0,0.0,1.0,1.0,6140,559,0
0.0,18.0,9.0,0.0,0.0,0.0,1.0,0,560,7300
0.0,23.0,11.0,1.0,0.0,0.0,1.0,6382,581,0
0.0,20.0,12.0,1.0,0.0,0.0,0.0,0,592,4160
0.0,19.0,10.0,1.0,0.0,0.0,1.0,0,604,0
0.0,18.0,11.0,1.0,0.0,0.0,1.0,1065,645,5498
0.0,17.0,10.0,1.0,0.0,0.0,1.0,0,665,0
0.0,27.0,12.0,1.0,0.0,1.0,0.0,0,752,0
0.0,27.0,11.0,1.0,0.0,0.0,1.0,3065,766,0
0.0,28.0,12.0,0.0,0.0,0.0,0.0,0,803,16477
0.0,28.0,11.0,1.0,0.0,0.0,1.0,2432,863,0
0.0,21.0,10.0,1.0,0.0,0.0,1.0,6661,1162,39484
0.0,17.0,10.0,0.0,1.0,0.0,1.0,4905,1169,11306
0.0,26.0,11.0,1.0,0.0,0.0,1.0,4700,1175,6672
0.0,29.0,9.0,1.0,0.0,0.0,1.0,0,1204,9379
0.0,17.0,10.0,0.0,1.0,0.0,1.0,1204,1240,5089
0.0,22.0,11.0,1.0,0.0,0.0,1.0,7914,1322,2639
0.0,24.0,11.0,1.0,0.0,0.0,1.0,0,1328,9496
0.0,20.0,12.0,1.0,0.0,0.0,0.0,558,1371,20893
0.0,18.0,12.0,1.0,0.0,0.0,0.0,0,1406,0
0.0,24.0,11.0,0.0,0.0,0.0,1.0,2670,1468,10362
0.0,21.0,9.0,0.0,0.0,0.0,1.0,2988,1577,1740
0.0,30.0,8.0,1.0,0.0,0.0,1.0,0,1707,0
0.0,31.0,11.0,1.0,0.0,0.0,1.0,17712,1726,0
